inv_no,billed_on,zimmer_cust_no,customer,sku_id,description,cat_name,customer_po,qty,price,net_sales_amount,commission_rate,Commission Total,Year,Month
851905,1/5/22,00006612,ALEX PAINO,323.0071,RIBFIX ADV SMALL AO HANDLE,DI,000000000000DIDI2NDDAY,1,0,0,19,0,2022,1
851905,1/5/22,00006612,ALEX PAINO,323.0075,RIBFIX ADV X-DRIVER AO CONNECT,DI,000000000000DIDI2NDDAY,1,0,0,19,0,2022,1
852080,1/5/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,111-ED-050,JEIL POWER DRIVER SINGLE USE,Tritium,333598886,2,159,317,19,60,2022,1
852080,1/5/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,333598886,8,54,432,19,82,2022,1
852080,1/5/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,333598886,2,603,1206,19,229,2022,1
852080,1/5/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,Tritium,333598886,2,70,140,19,27,2022,1
852241,1/5/22,23446901,DELRAY MEDICAL CENTER,323.0010,RIBFIX ADV BRAD PT 4.0MM DRILL,RibFix Adv,200529484,1,303,303,19,58,2022,1
852241,1/5/22,23446901,DELRAY MEDICAL CENTER,323.1033,RIBFIX ADV LO BRDG & 23MM PST,RibFix Adv,200529484,2,4197,8394,19,1595,2022,1
852241,1/5/22,23446901,DELRAY MEDICAL CENTER,323.1090,RIBFIX ADV GUIDE CABLE,RibFix Adv,200529484,4,281,1124,19,214,2022,1
852241,1/5/22,23446901,DELRAY MEDICAL CENTER,323.1205,RIBFIX ADV X-DRV LOCKING CAP,RibFix Adv,200529484,4,325,1300,19,247,2022,1
852241,1/5/22,23446901,DELRAY MEDICAL CENTER,323.1290,RIBFIX ADV 9.5MM WASHER,RibFix Adv,200529484,4,215,860,19,163,2022,1
852237,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-12,TRITIUM SCR 2.7X12MM 1EA,Tritium,200528766,4,67,267,19,51,2022,1
852237,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-16,TRITIUM SCR 2.7X16MM 1EA,Tritium,200528766,4,67,267,19,51,2022,1
852237,1/5/22,23446901,DELRAY MEDICAL CENTER,86-30-12,TRITIUM EMG SCR 3.0X12MM 1EA,Tritium,200528766,1,67,67,19,13,2022,1
852237,1/5/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200528766,2,670,1340,19,255,2022,1
852237,1/5/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200528766,2,80,160,19,30,2022,1
852238,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200530544,8,67,534,19,101,2022,1
852238,1/5/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200530544,2,670,1340,19,255,2022,1
852238,1/5/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200530544,2,80,160,19,30,2022,1
852239,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200529256,4,67,267,19,51,2022,1
852239,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-16,TRITIUM SCR 2.7X16MM 1EA,Tritium,200529256,4,67,267,19,51,2022,1
852239,1/5/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200529256,2,670,1340,19,255,2022,1
852239,1/5/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200529256,2,80,160,19,30,2022,1
852240,1/5/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200531305,2,670,1340,19,255,2022,1
852242,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200530049,4,67,267,19,51,2022,1
852242,1/5/22,23446901,DELRAY MEDICAL CENTER,86-27-16,TRITIUM SCR 2.7X16MM 1EA,Tritium,200530049,4,67,267,19,51,2022,1
852242,1/5/22,23446901,DELRAY MEDICAL CENTER,86-30-14,TRITIUM EMG SCR 3.0X14MM 1EA,Tritium,200530049,1,67,67,19,13,2022,1
852242,1/5/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200530049,2,670,1340,19,255,2022,1
852242,1/5/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200530049,2,80,160,19,30,2022,1
853083,1/10/22,70033301,FLORIDA MEDICAL CENTER,111-ED-050,JEIL POWER DRIVER SINGLE USE,Tritium,000000000000090D333650,2,159,317,19,60,2022,1
853083,1/10/22,70033301,FLORIDA MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,000000000000090D333650,12,54,648,19,123,2022,1
853083,1/10/22,70033301,FLORIDA MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,000000000000090D333650,3,603,1809,19,344,2022,1
853083,1/10/22,70033301,FLORIDA MEDICAL CENTER,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,Tritium,000000000000090D333650,2,70,140,19,27,2022,1
853124,1/11/22,00006612,ALEX PAINO,111-ED-050,JEIL POWER DRIVER SINGLE USE,DI,000000000tuesdayweekly,2,0,0,19,0,2022,1
853124,1/11/22,00006612,ALEX PAINO,86-27-14,TRITIUM SCR 2.7X14MM 1EA,DI,000000000tuesdayweekly,20,0,0,19,0,2022,1
853124,1/11/22,00006612,ALEX PAINO,86-27-16,TRITIUM SCR 2.7X16MM 1EA,DI,000000000tuesdayweekly,8,0,0,19,0,2022,1
853124,1/11/22,00006612,ALEX PAINO,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,DI,000000000tuesdayweekly,7,0,0,19,0,2022,1
853124,1/11/22,00006612,ALEX PAINO,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,DI,000000000tuesdayweekly,2,0,0,19,0,2022,1
853124,1/11/22,00006612,ALEX PAINO,PDBP-001-2,TRITIUM POWERDRVR BATTRY,DI,000000000tuesdayweekly,10,0,0,19,0,2022,1
853331,1/11/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,024-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,333598776,4,317,1268,19,241,2022,1
853332,1/11/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,040-337,DW SS#6 14IN CCS#1 NDL 4PK12PK,Single Use,333599155,1,1431,1431,19,272,2022,1
853438,1/11/22,00006612,ALEX PAINO,323.0010,RIBFIX ADV BRAD PT 4.0MM DRILL,DI,000000000tuesdayweekly,1,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,323.1013,RIBFIX ADV SHT BRDG & 23MM PST,DI,000000000tuesdayweekly,0,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,323.1033,RIBFIX ADV LO BRDG & 23MM PST,DI,000000000tuesdayweekly,3,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,323.1090,RIBFIX ADV GUIDE CABLE,DI,000000000tuesdayweekly,0,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,323.1205,RIBFIX ADV X-DRV LOCKING CAP,DI,000000000tuesdayweekly,8,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,323.1290,RIBFIX ADV 9.5MM WASHER,DI,000000000tuesdayweekly,8,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,73-2414,SCRW 2.4X14MM CANCELOUS LOCKNG,DI,000000000tuesdayweekly,40,0,0,19,0,2022,1
853438,1/11/22,00006612,ALEX PAINO,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,DI,000000000tuesdayweekly,8,0,0,19,0,2022,1
853439,1/11/22,00006612,ALEX PAINO,323.0010,RIBFIX ADV BRAD PT 4.0MM DRILL,DI,SysLink DI-6602234-TUE,1,0,0,19,0,2022,1
853439,1/11/22,00006612,ALEX PAINO,323.1033,RIBFIX ADV LO BRDG & 23MM PST,DI,SysLink DI-6602234-TUE,2,0,0,19,0,2022,1
853439,1/11/22,00006612,ALEX PAINO,323.1090,RIBFIX ADV GUIDE CABLE,DI,SysLink DI-6602234-TUE,0,0,0,19,0,2022,1
853439,1/11/22,00006612,ALEX PAINO,323.1205,RIBFIX ADV X-DRV LOCKING CAP,DI,SysLink DI-6602234-TUE,4,0,0,19,0,2022,1
853439,1/11/22,00006612,ALEX PAINO,323.1290,RIBFIX ADV 9.5MM WASHER,DI,SysLink DI-6602234-TUE,4,0,0,19,0,2022,1
853819,1/12/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,024-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,333596591,1,317,317,19,60,2022,1
853860,1/12/22,00006612,ALEX PAINO,70-2001,HIGH TORQUE DRIVER,DI,0000002nd DAY SHIPPING,3,0,0,19,0,2022,1
853860,1/12/22,00006612,ALEX PAINO,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,DI,0000002nd DAY SHIPPING,22,0,0,19,0,2022,1
853860,1/12/22,00006612,ALEX PAINO,73-2418,SCRW 2.4X18MM CANCELOUS LOCKNG,DI,0000002nd DAY SHIPPING,6,0,0,19,0,2022,1
853860,1/12/22,00006612,ALEX PAINO,73-2622,PLATE 4 HOLE SQUARE,DI,0000002nd DAY SHIPPING,1,0,0,19,0,2022,1
853860,1/12/22,00006612,ALEX PAINO,74-0003,SL360 SINGLE X-PLATE IMPLANT,DI,0000002nd DAY SHIPPING,1,0,0,19,0,2022,1
853860,1/12/22,00006612,ALEX PAINO,74-0004,SL360 MULTI-IMPLANT SYSTEM,DI,0000002nd DAY SHIPPING,0,0,0,19,0,2022,1
854265,1/13/22,00006612,ALEX PAINO,74-0004,SL360 MULTI-IMPLANT SYSTEM,DI,0000002nd DAY SHIPPING,1,0,0,19,0,2022,1
854135,1/13/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,70-2001,HIGH TORQUE DRIVER,RibFix Adv,482655,2,105,209,19,40,2022,1
